,Clip,Completeness,Dist_Thresh,FM,FPF,FPS,IOU_Thresh,ML,MT,N_frames,N_match,N_objects,PT,Precision,Recall,Res,SODP,SOTA,SOTP,Tracker,fn_count,fp_count,fp_thresh_count,tn_count,tp_count
247,Human01,0.0,0.1,1.0,0.0,104.87,0.4,1,0,80.0,0,63,0,0.0,0.0,720,0.0,0.0,,mosse,63,0,0,16,0
248,Human01,0.98,0.1,0.0,0.2,36.6,0.4,0,1,80.0,63,63,0,0.7975,1.0,720,0.6384,1.0,0.0074,csrt,0,16,0,0,63
249,Snowboard01,0.2,0.1,0.76,0.7522,15.41,0.4,1,0,113.0,112,112,0,0.2411,0.2411,1504,0.1572,0.2411,0.41,mil,0,0,85,0,27
250,Snowboard01,1.0,0.1,0.98,0.0,69.53,0.4,0,1,113.0,2,112,0,1.0,0.0179,1504,0.8565,0.0179,0.0018,kcf,110,0,0,0,2
251,Snowboard01,0.12,0.1,0.76,0.7522,9.86,0.4,1,0,113.0,112,112,0,0.2411,0.2411,1504,0.0949,0.2411,0.5327,tld,0,0,85,0,27
252,Snowboard01,0.62,0.1,0.82,0.1062,61.82,0.4,0,0,113.0,32,112,1,0.625,0.1786,1504,0.4978,0.1786,0.3649,medianflow,80,0,12,0,20
253,Snowboard01,0.15,0.1,0.78,0.7699,8.15,0.4,1,0,113.0,112,112,0,0.2232,0.2232,1504,0.1205,0.2232,0.4901,goturn,0,0,87,0,25
254,Snowboard01,1.0,0.1,0.99,0.0,81.39,0.4,0,1,113.0,1,112,0,1.0,0.0089,1504,0.9698,0.0089,0.0,mosse,111,0,0,0,1
255,Snowboard01,0.67,0.1,0.0,0.0,22.48,0.4,0,0,113.0,112,112,1,1.0,1.0,1504,0.5051,1.0,0.0154,csrt,0,0,0,0,112
256,Bike07,0.83,0.1,0.0,0.0267,13.59,0.4,0,1,75.0,72,72,0,0.973,1.0,1504,0.5299,1.0,0.0069,mil,0,2,0,0,72
257,Bike07,1.0,0.1,0.97,0.0,58.55,0.4,0,1,75.0,2,72,0,1.0,0.0278,1504,0.9351,0.0278,0.0007,kcf,70,0,0,2,2
258,Bike07,0.64,0.1,0.33,0.3467,8.8,0.4,0,0,75.0,72,72,1,0.6486,0.6667,1504,0.4189,0.6667,0.2269,tld,0,2,24,0,48
259,Bike07,0.88,0.1,0.06,0.08,48.33,0.4,0,1,75.0,72,72,0,0.9189,0.9444,1504,0.6281,0.9444,0.0126,medianflow,0,2,4,0,68
260,Bike07,0.03,0.1,0.74,0.7333,12.98,0.4,1,0,75.0,72,72,0,0.2568,0.2639,1504,0.0206,0.2639,0.2941,goturn,0,2,53,0,19
261,Bike07,1.0,0.1,0.99,0.0,61.39,0.4,0,1,75.0,1,72,0,1.0,0.0139,1504,0.8929,0.0139,0.0004,mosse,71,0,0,2,1
262,Bike07,0.97,0.1,0.0,0.0267,19.95,0.4,0,1,75.0,72,72,0,0.973,1.0,1504,0.6589,1.0,0.0029,csrt,0,2,0,0,72
263,Ski02,0.61,0.1,0.0,0.0,14.59,0.4,0,0,602.0,601,601,1,1.0,1.0,1280,0.4594,1.0,0.0069,mil,0,0,0,0,601
264,Ski02,0.64,0.1,0.0,0.0,52.08,0.4,0,0,602.0,601,601,1,1.0,1.0,1280,0.4511,1.0,0.0046,kcf,0,0,0,0,601
265,Ski02,0.89,0.1,0.08,0.0831,12.54,0.4,0,1,602.0,601,601,0,0.9168,0.9168,1280,0.5674,0.9168,0.0395,tld,0,0,50,0,551
266,Ski02,0.92,0.1,0.0,0.0,51.12,0.4,0,1,602.0,601,601,0,1.0,1.0,1280,0.5389,1.0,0.0075,medianflow,0,0,0,0,601
267,Ski02,1.0,0.1,0.0,0.0,14.38,0.4,0,1,602.0,601,601,0,1.0,1.0,1280,0.7715,1.0,0.0023,goturn,0,0,0,0,601
268,Ski02,0.27,0.1,0.0,0.0,55.45,0.4,0,0,602.0,601,601,1,1.0,1.0,1280,0.3854,1.0,0.0061,mosse,0,0,0,0,601
269,Ski02,0.98,0.1,0.0,0.0,20.51,0.4,0,1,602.0,601,601,0,1.0,1.0,1280,0.6122,1.0,0.0034,csrt,0,0,0,0,601
270,Ski03,0.12,0.1,0.74,0.7361,16.7,0.4,1,0,1114.0,1113,1113,0,0.2633,0.2633,1280,0.1349,0.2633,0.2541,mil,0,0,820,0,293
271,Ski03,0.16,0.1,0.38,0.1113,36.68,0.4,1,0,1114.0,812,1113,0,0.8473,0.6181,1280,0.1999,0.6181,0.0845,kcf,301,0,124,0,688
272,Ski03,0.3,0.1,0.67,0.6732,12.43,0.4,0,0,1114.0,1113,1113,1,0.3261,0.3261,1280,0.1859,0.3261,0.2488,tld,0,0,750,0,363
273,Ski03,0.31,0.1,0.46,0.4641,54.64,0.4,0,0,1114.0,1113,1113,1,0.5355,0.5355,1280,0.2374,0.5355,0.2931,medianflow,0,0,517,0,596
274,Ski03,0.84,0.1,0.0,0.0,14.84,0.4,0,1,1114.0,1113,1113,0,1.0,1.0,1280,0.5263,1.0,0.0072,goturn,0,0,0,0,1113
275,Ski03,0.1,0.1,0.38,0.3797,52.58,0.4,1,0,1114.0,1113,1113,0,0.6199,0.6199,1280,0.1149,0.6199,0.2396,mosse,0,0,423,0,690
276,Ski03,0.27,0.1,0.0,0.0,21.65,0.4,0,0,1114.0,1113,1113,1,1.0,1.0,1280,0.3289,1.0,0.0084,csrt,0,0,0,0,1113
277,Ski01,0.55,0.1,0.26,0.2572,13.65,0.4,0,0,1353.0,1352,1352,1,0.7426,0.7426,720,0.3582,0.7426,0.1573,mil,0,0,348,0,1004
278,Ski01,1.0,0.1,1.0,0.0,39.44,0.4,0,1,1353.0,1,1352,0,1.0,0.0007,720,0.9602,0.0007,0.001,kcf,1351,0,0,0,1
279,Ski01,0.0,0.1,0.99,0.9874,10.11,0.4,1,0,1353.0,1352,1352,0,0.0118,0.0118,720,0.0004,0.0118,0.7759999999999999,tld,0,0,1336,0,16
280,Ski01,0.01,0.1,0.92,0.031,36.13,0.4,1,0,1353.0,146,1352,0,0.7123,0.0769,720,0.0882,0.0769,0.0679,medianflow,1206,0,42,0,104
281,Ski01,0.13,0.1,0.82,0.8189,12.25,0.4,1,0,1353.0,1352,1352,0,0.1805,0.1805,720,0.0875,0.1805,0.8226,goturn,0,0,1108,0,244
282,Ski01,0.0,0.1,1.0,0.0,39.56,0.4,1,0,1353.0,0,1352,0,0.0,0.0,720,0.0,0.0,,mosse,1352,0,0,0,0
283,Ski01,0.93,0.1,0.0,0.0,21.81,0.4,0,1,1353.0,1352,1352,0,1.0,1.0,720,0.5794,1.0,0.0042,csrt,0,0,0,0,1352
284,Bike04,0.2,0.1,0.47,0.4632,16.71,0.4,0,0,95.0,94,94,1,0.5319,0.5319,720,0.1182,0.5319,0.126,mil,0,0,44,0,50
285,Bike04,1.0,0.1,0.99,0.0,90.38,0.4,0,1,95.0,1,94,0,1.0,0.0106,720,0.8752,0.0106,0.0017,kcf,93,0,0,0,1
286,Bike04,0.0,0.1,1.0,0.9895,12.16,0.4,1,0,95.0,94,94,0,0.0,0.0,720,0.0,0.0,0.4136,tld,0,0,94,0,0
287,Bike04,0.04,0.1,0.78,0.7684,84.57,0.4,1,0,95.0,94,94,0,0.2234,0.2234,720,0.0321,0.2234,0.2638,medianflow,0,0,73,0,21
288,Bike04,0.03,0.1,0.24,0.2421,14.03,0.4,1,0,95.0,94,94,0,0.7553,0.7553,720,0.0906,0.7553,0.0591,goturn,0,0,23,0,71
289,Bike04,0.0,0.1,1.0,0.0,98.75,0.4,1,0,95.0,0,94,0,0.0,0.0,720,0.0,0.0,,mosse,94,0,0,0,0
290,Bike04,1.0,0.1,0.0,0.0,20.46,0.4,0,1,95.0,94,94,0,1.0,1.0,720,0.6451,1.0,0.0034,csrt,0,0,0,0,94
291,Sup01,0.78,0.1,0.0,0.0188,15.02,0.4,0,0,373.0,365,365,1,0.9812,1.0,1280,0.5206,1.0,0.0108,mil,0,7,0,0,365
292,Sup01,1.0,0.1,0.81,0.0,70.21,0.4,0,1,373.0,69,365,0,1.0,0.18899999999999997,1280,0.8073,0.18899999999999997,0.003,kcf,296,0,0,7,69
293,Sup01,0.51,0.1,0.11,0.0643,13.8,0.4,0,0,373.0,350,365,1,0.9314,0.8932,1280,0.3968,0.8932,0.0243,tld,15,0,24,7,326
294,Sup01,0.58,0.1,0.11,0.0,61.55,0.4,0,0,373.0,326,365,1,1.0,0.8932,1280,0.5129,0.8932,0.0081,medianflow,39,0,0,7,326
295,Sup01,0.29,0.1,0.06,0.0804,13.82,0.4,0,0,373.0,365,365,1,0.9194,0.937,1280,0.2966,0.937,0.0705,goturn,0,7,23,0,342
296,Sup01,0.67,0.1,0.0,0.0134,74.95,0.4,0,0,373.0,365,365,1,0.9865,1.0,1280,0.5121,1.0,0.0043,mosse,0,5,0,2,365
297,Sup01,0.82,0.1,0.06,0.0,26.14,0.4,0,1,373.0,342,365,0,1.0,0.937,1280,0.5111,0.937,0.0041,csrt,23,0,0,7,342
298,Snowboard01,0.58,0.1,0.0,0.0,17.48,0.4,0,0,113.0,112,112,1,1.0,1.0,720,0.4343,1.0,0.0195,mil,0,0,0,0,112
299,Snowboard01,1.0,0.1,0.99,0.0,104.92,0.4,0,1,113.0,1,112,0,1.0,0.0089,720,0.9663,0.0089,0.0005,kcf,111,0,0,0,1
300,Snowboard01,0.53,0.1,0.29,0.292,22.81,0.4,0,0,113.0,112,112,1,0.7054,0.7054,720,0.35100000000000003,0.7054,0.1324,tld,0,0,33,0,79
301,Snowboard01,0.36,0.1,0.82,0.3186,92.25,0.4,0,0,113.0,56,112,1,0.3571,0.1786,720,0.2751,0.1786,0.5194,medianflow,56,0,36,0,20
302,Snowboard01,0.15,0.1,0.77,0.7611,14.0,0.4,1,0,113.0,112,112,0,0.2321,0.2321,720,0.1202,0.2321,0.4343,goturn,0,0,86,0,26
303,Snowboard01,1.0,0.1,0.99,0.0,112.76,0.4,0,1,113.0,1,112,0,1.0,0.0089,720,0.9304,0.0089,0.0017,mosse,111,0,0,0,1
304,Snowboard01,0.92,0.1,0.0,0.0,37.32,0.4,0,1,113.0,112,112,0,1.0,1.0,720,0.5870000000000001,1.0,0.0124,csrt,0,0,0,0,112
305,Sup01,0.78,0.1,0.0,0.0188,14.8,0.4,0,0,373.0,365,365,1,0.9812,1.0,1504,0.4801,1.0,0.0094,mil,0,7,0,0,365
306,Sup01,1.0,0.1,0.77,0.0,72.81,0.4,0,1,373.0,83,365,0,1.0,0.2274,1504,0.7902,0.2274,0.0037,kcf,282,0,0,7,83
307,Sup01,0.96,0.1,0.12,0.0,12.35,0.4,0,1,373.0,320,365,0,1.0,0.8767,1504,0.5871,0.8767,0.0094,tld,45,0,0,7,320
308,Sup01,0.5,0.1,0.11,0.0241,62.77,0.4,0,0,373.0,335,365,1,0.9731,0.8932,1504,0.4336,0.8932,0.0144,medianflow,30,0,9,7,326
309,Sup01,0.28,0.1,0.06,0.0804,12.63,0.4,0,0,373.0,365,365,1,0.9194,0.937,1504,0.27699999999999997,0.937,0.0645,goturn,0,7,23,0,342
310,Sup01,0.78,0.1,0.06,0.0,22.68,0.4,0,0,373.0,342,365,1,1.0,0.937,1504,0.5207,0.937,0.0044,csrt,23,0,0,7,342
311,Car01,1.0,0.1,0.0,0.0,16.26,0.4,0,1,157.0,156,156,0,1.0,1.0,1280,0.7224,1.0,0.0096,mil,0,0,0,0,156
312,Car01,1.0,0.1,0.0,0.0,53.29,0.4,0,1,157.0,156,156,0,1.0,1.0,1280,0.7511,1.0,0.0043,kcf,0,0,0,0,156
313,Car01,0.96,0.1,0.0,0.0,14.96,0.4,0,1,157.0,156,156,0,1.0,1.0,1280,0.5852,1.0,0.0289,tld,0,0,0,0,156
314,Car01,1.0,0.1,0.0,0.0,62.34,0.4,0,1,157.0,156,156,0,1.0,1.0,1280,0.8572,1.0,0.0081,medianflow,0,0,0,0,156
315,Car01,1.0,0.1,0.0,0.0,45.41,0.4,0,1,157.0,156,156,0,1.0,1.0,1280,0.7802,1.0,0.008,mosse,0,0,0,0,156
316,Car01,1.0,0.1,0.0,0.0,12.68,0.4,0,1,157.0,156,156,0,1.0,1.0,1280,0.649,1.0,0.0061,csrt,0,0,0,0,156
317,Ski03,0.12,0.1,0.4,0.3986,19.76,0.4,1,0,1114.0,1113,1113,0,0.6011,0.6011,720,0.1442,0.6011,0.1467,mil,0,0,444,0,669
318,Ski03,0.16,0.1,0.39,0.1167,69.61,0.4,1,0,1114.0,812,1113,0,0.8399,0.6128,720,0.1951,0.6128,0.0874,kcf,301,0,130,0,682
319,Ski03,0.28,0.1,0.68,0.6831,25.16,0.4,0,0,1114.0,1113,1113,1,0.3163,0.3163,720,0.1735,0.3163,0.2036,tld,0,0,761,0,352
320,Ski03,0.18,0.1,0.65,0.6373,90.75,0.4,1,0,1114.0,1104,1113,0,0.3569,0.354,720,0.1698,0.354,0.4029,medianflow,9,0,710,0,394
321,Ski03,0.86,0.1,0.0,0.0,16.15,0.4,0,1,1114.0,1113,1113,0,1.0,1.0,720,0.5334,1.0,0.006999999999999999,goturn,0,0,0,0,1113
322,Ski03,0.1,0.1,0.37,0.3698,81.18,0.4,1,0,1114.0,1112,1113,0,0.6295,0.6289,720,0.1146,0.6289,0.2251,mosse,1,0,412,0,700
323,Ski03,0.24,0.1,0.0,0.0,27.6,0.4,0,0,1114.0,1113,1113,1,1.0,1.0,720,0.2763,1.0,0.0109,csrt,0,0,0,0,1113
324,Ski04,0.74,0.1,0.0,0.0,15.22,0.4,0,0,254.0,253,253,1,1.0,1.0,1280,0.5306,1.0,0.0106,mil,0,0,0,0,253
325,Ski04,0.56,0.1,0.74,0.0,57.65,0.4,0,0,254.0,66,253,1,1.0,0.2609,1280,0.48100000000000004,0.2609,0.0117,kcf,187,0,0,0,66
326,Ski04,0.54,0.1,0.0,0.0,14.71,0.4,0,0,254.0,253,253,1,1.0,1.0,1280,0.4236,1.0,0.0168,tld,0,0,0,0,253
327,Ski04,0.83,0.1,0.0,0.0,58.58,0.4,0,1,254.0,253,253,0,1.0,1.0,1280,0.5601,1.0,0.0124,medianflow,0,0,0,0,253
328,Ski04,0.23,0.1,0.0,0.0,13.85,0.4,0,0,254.0,253,253,1,1.0,1.0,1280,0.2943,1.0,0.0274,goturn,0,0,0,0,253
329,Ski04,0.63,0.1,0.0,0.0,66.23,0.4,0,0,254.0,253,253,1,1.0,1.0,1280,0.4837,1.0,0.017,mosse,0,0,0,0,253
330,Ski04,0.62,0.1,0.0,0.0,19.83,0.4,0,0,254.0,253,253,1,1.0,1.0,1280,0.5042,1.0,0.0123,csrt,0,0,0,0,253
331,Bike08,0.41,0.1,0.0,0.0036,10.98,0.4,0,0,559.0,556,556,1,0.9964,1.0,1920,0.4041,1.0,0.0155,mil,0,2,0,0,556
332,Bike08,0.4,0.1,0.2,0.0036,32.89,0.4,0,0,559.0,446,556,1,0.9955,0.8022,1920,0.4064,0.8022,0.0138,kcf,110,2,0,0,446
333,Bike08,0.76,0.1,0.01,0.0125,7.16,0.4,0,0,559.0,556,556,1,0.9875,0.991,1920,0.5158,0.991,0.0392,tld,0,2,5,0,551
334,Bike08,0.17,0.1,0.76,0.7585,29.69,0.4,1,0,559.0,556,556,0,0.2401,0.24100000000000002,1920,0.1225,0.24100000000000002,0.2886,medianflow,0,2,422,0,134
335,Bike08,0.0,0.1,0.98,0.9785,11.19,0.4,1,0,559.0,556,556,0,0.0197,0.0198,1920,0.0051,0.0198,0.4764,goturn,0,2,545,0,11
336,Bike08,0.46,0.1,0.0,0.0036,36.01,0.4,0,0,559.0,556,556,1,0.9964,1.0,1920,0.4207,1.0,0.0132,mosse,0,2,0,0,556
337,Bike08,0.99,0.1,0.0,0.0036,14.19,0.4,0,1,559.0,556,556,0,0.9964,1.0,1920,0.6406,1.0,0.0134,csrt,0,2,0,0,556
338,Ski02,0.58,0.1,0.0,0.0,17.73,0.4,0,0,602.0,601,601,1,1.0,1.0,720,0.4279,1.0,0.0089,mil,0,0,0,0,601
339,Ski02,1.0,0.1,1.0,0.0,96.05,0.4,0,1,602.0,1,601,0,1.0,0.0017,720,0.9394,0.0017,0.0014,kcf,600,0,0,0,1
340,Ski02,0.0,0.1,0.33,0.3322,24.9,0.4,1,0,602.0,600,601,0,0.6667,0.6656,720,0.0003,0.6656,0.201,tld,1,0,200,0,400
341,Ski02,0.96,0.1,0.0,0.0,84.39,0.4,0,1,602.0,600,601,0,1.0,0.9983,720,0.5544,0.9983,0.0064,medianflow,1,0,0,0,600
342,Ski02,1.0,0.1,0.0,0.0,15.97,0.4,0,1,602.0,601,601,0,1.0,1.0,720,0.7664,1.0,0.0025,goturn,0,0,0,0,601
343,Ski02,1.0,0.1,0.99,0.0,95.66,0.4,0,1,602.0,8,601,0,1.0,0.0133,720,0.7192,0.0133,0.0049,mosse,593,0,0,0,8
344,Ski02,0.64,0.1,0.0,0.0,31.47,0.4,0,0,602.0,601,601,1,1.0,1.0,720,0.4569,1.0,0.0036,csrt,0,0,0,0,601
345,Sup01,0.53,0.1,0.0,0.0188,16.82,0.4,0,0,373.0,365,365,1,0.9812,1.0,720,0.4277,1.0,0.0202,mil,0,7,0,0,365
346,Sup01,1.0,0.1,1.0,0.0,120.15,0.4,0,1,373.0,1,365,0,1.0,0.0027,720,0.9538,0.0027,0.0005,kcf,364,0,0,7,1
347,Sup01,0.0,0.1,1.0,0.7078,20.33,0.4,1,0,373.0,258,365,0,0.0,0.0,720,0.0005,0.0,0.4166,tld,107,6,258,1,0
348,Sup01,0.29,0.1,0.31,0.3217,106.53,0.4,0,0,373.0,365,365,1,0.6774,0.6904,720,0.2502,0.6904,0.09699999999999999,medianflow,0,7,113,0,252
349,Sup01,0.08,0.1,0.41,0.4182,16.18,0.4,1,0,373.0,365,365,0,0.5806,0.5918,720,0.1311,0.5918,0.0972,goturn,0,7,149,0,216
350,Sup01,0.0,0.1,1.0,0.0,126.79,0.4,1,0,373.0,0,365,0,0.0,0.0,720,0.0,0.0,,mosse,365,0,0,7,0
351,Sup01,0.94,0.1,0.06,0.0,33.23,0.4,0,1,373.0,342,365,0,1.0,0.937,720,0.6109,0.937,0.0033,csrt,23,0,0,7,342
352,Wake01,0.04,0.1,0.6,0.5979,17.07,0.4,1,0,756.0,755,755,0,0.4013,0.4013,720,0.0966,0.4013,0.2578,mil,0,0,452,0,303
353,Wake01,1.0,0.1,1.0,0.0,80.29,0.4,0,1,756.0,1,755,0,1.0,0.0013,720,0.9462,0.0013,0.0014,kcf,754,0,0,0,1
354,Wake01,0.0,0.1,0.94,0.922,18.95,0.4,1,0,756.0,741,755,0,0.0594,0.0583,720,0.0006,0.0583,0.3184,tld,14,0,697,0,44
355,Wake01,0.15,0.1,0.93,0.1389,84.25,0.4,1,0,756.0,158,755,0,0.3354,0.0702,720,0.1008,0.0702,0.3013,medianflow,597,0,105,0,53
356,Wake01,0.01,0.1,0.95,0.9537,16.79,0.4,1,0,756.0,755,755,0,0.045,0.045,720,0.0134,0.045,0.3364,goturn,0,0,721,0,34
357,Wake01,0.0,0.1,1.0,0.0,104.96,0.4,1,0,756.0,0,755,0,0.0,0.0,720,0.0,0.0,,mosse,755,0,0,0,0
358,Wake01,0.24,0.1,0.49,0.1243,41.91,0.4,0,0,756.0,478,755,1,0.8033,0.5086,720,0.24100000000000002,0.5086,0.0609,csrt,277,0,94,0,384
359,Bike05,0.57,0.1,0.03,0.0316,17.67,0.4,0,0,158.0,157,157,1,0.9682,0.9682,720,0.4476,0.9682,0.0194,mil,0,0,5,0,152
360,Bike05,1.0,0.1,0.94,0.0,95.47,0.4,0,1,158.0,10,157,0,1.0,0.0637,720,0.8555,0.0637,0.0053,kcf,147,0,0,0,10
361,Bike05,0.71,0.1,0.15,0.1519,30.17,0.4,0,0,158.0,157,157,1,0.8471,0.8471,720,0.4488,0.8471,0.0624,tld,0,0,24,0,133
362,Bike05,0.74,0.1,0.34,0.1772,84.01,0.4,0,0,158.0,131,157,1,0.7863,0.6561,720,0.5157,0.6561,0.0757,medianflow,26,0,28,0,103
363,Bike05,0.03,0.1,0.77,0.7658,7.29,0.4,1,0,158.0,157,157,0,0.2293,0.2293,720,0.0399,0.2293,0.9293,goturn,0,0,121,0,36
364,Bike05,0.0,0.1,1.0,0.0,98.25,0.4,1,0,158.0,0,157,0,0.0,0.0,720,0.0,0.0,,mosse,157,0,0,0,0
365,Bike05,0.91,0.1,0.0,0.0,29.17,0.4,0,1,158.0,157,157,0,1.0,1.0,720,0.6322,1.0,0.0061,csrt,0,0,0,0,157
366,Bike05,0.57,0.1,0.0,0.0,13.5,0.4,0,0,158.0,157,157,1,1.0,1.0,1504,0.4782,1.0,0.019,mil,0,0,0,0,157
367,Bike05,0.74,0.1,0.23,0.0,48.52,0.4,0,0,158.0,121,157,1,1.0,0.7707,1504,0.5451,0.7707,0.0068,kcf,36,0,0,0,121
368,Bike05,0.8,0.1,0.11,0.1139,10.6,0.4,0,0,158.0,157,157,1,0.8854,0.8854,1504,0.5459,0.8854,0.0654,tld,0,0,18,0,139
369,Bike05,0.56,0.1,0.41,0.3861,39.8,0.4,0,0,158.0,154,157,1,0.6039,0.5924,1504,0.3888,0.5924,0.1463,medianflow,3,0,61,0,93
370,Bike05,0.27,0.1,0.41,0.4114,8.21,0.4,0,0,158.0,157,157,1,0.586,0.586,1504,0.2247,0.586,0.5713,goturn,0,0,65,0,92
371,Bike05,0.55,0.1,0.0,0.0,54.09,0.4,0,0,158.0,157,157,1,1.0,1.0,1504,0.4815,1.0,0.0086,mosse,0,0,0,0,157
372,Bike05,1.0,0.1,0.0,0.0,19.85,0.4,0,1,158.0,157,157,0,1.0,1.0,1504,0.7469,1.0,0.0053,csrt,0,0,0,0,157
